procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 17601096 1693340  15580 5696060   32    0    32    10 5993 6224 92  6  2  0  0
15  0 17601092 1640540  15592 5696076   16    0    16   188 4154 4783 89  6  5  0  0
 4  0 17601040 1505372  15608 5707716   16    0  5974     8 4825 6523 91  7  2  0  0
10  0 17601008 1346100  15624 5719988   16    0  6100    80 1103 4966 90  5  5  0  0
12  1 17601008 1200816  15640 5734516    0    0  7432     6 1192 4659 92  6  2  0  0
 2  1 17600972 1135352  15656 5750788   20    0  8156     0 5055 5743 86  4 10  0  0
17  0 17600940 953832  15676 5764500   16    0  6998    80 2215 5010 93  5  3  0  0
10  0 17600908 767536  15688 5775696    4    0  5322     0 4498 4436 92  6  2  0  0
11  0 17600888 733584  15712 5791716   16    0  7960    82 2693 4688 93  5  1  0  0
14  0 17600880 715116  15728 5808224    0    0  8264    26 2863 4687 94  5  1  0  0
14  0 17600844 697772  15744 5825152   32    0  8426     0 2687 4567 94  5  1  0  0
10  0 17600820 687796  15752 5827364    0    0  1154    70 7031 7339 85  4 11  0  0
 7  0 17600784 691104  15752 5827400   16    0    16   466 15114 12985 66  5 30  0  0
 5  0 17600760 667648  15760 5827360    0    0     0    86 3103 4443 49  2 49  0  0
 5  0 17600756 571964  15760 5827380   16    0    16     2 1215 4297 42  1 57  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  1 17600536 552640  15760 5827660  226    0   290     0 1088 4105 36  1 62  1  0
 1  0 17600424 554084  15912 5827348   64    0    84   374 1259 3958 21  0 78  0  0
 0  0 17600388 544800  15912 5827508   16    0    16    10 1054 3311 11  0 89  0  0
 0  0 17600360 545380  15912 5827508   16    0    16     0 1055 3097  0  0 100  0  0
 0  0 17600356 545080  15920 5827508    0    0     0    78 1024 3116  0  0 100  0  0
 0  0 17600316 545304  15920 5827512   16    0    16     0 1064 3160  0  0 100  0  0
 0  0 17600292 545316  15928 5827488   16    0    16    62 1023 3071  0  0 100  0  0
 2  0 17600260 545972  15928 5827504   16    0    16     8 1022 3087  0  0 100  0  0
 0  0 17600232 545852  15940 5827500   16    0    16   122 1025 3153  0  0 100  0  0
 0  0 17600232 546292  15940 5827508    0    0     0     0 1039 3200  0  0 100  0  0
 0  0 17600200 544184  15972 5827476   16    0    16   152 1041 3264  0  0 100  0  0
 1  0 17600176 544528  15972 5827480   32    0    32     0 1014 3201  0  0 100  0  0
 0  0 17600136 544040  15972 5827564    0    0     0    24 1025 3259  0  0 100  0  0
 0  0 17600116 544464  15984 5827524   16    0    18   102 1028 3194  0  0 100  0  0
 0  0 17600108 544184  15984 5827532    0    0     0   186 1042 3144  0  0 100  0  0
 0  0 17600076 544048  15992 5827516   32    0    32    44 1032 3121  0  0 100  0  0
 0  0 17600052 543696  15992 5827544    0    0     0     0 1063 3135  0  0 100  0  0
 0  0 17600016 544120  15992 5827500   32    0    32     0 1016 3136  0  0 100  0  0
 0  0 17599988 543660  16000 5827520    0    0     0    56 1023 3121  0  0 100  0  0
12  0 17599988 539556  16008 5827600    0    0     2    12 13559 12586 64  4 32  0  0
17  0 17599948 475192  16016 5827616   16    0    16   140 23784 18340 81  7 13  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  0 17599928 431896  16016 5827644    0    0     0     0 7812 6326 92  5  3  0  0
 9  0 17599900 168972  16016 5827604   16    0    16     8 3572 5432 90  5  5  0  0
17  0 17623408  98700  16024 5827648   16 11798    16 11902 1672 4621 93  5  2  0  0
 3 11 17694552  85572  16044 5829104    0 35652     0 35652 1362 3984 57  7  7 29  0
17  2 17781060  93960  16128 5873152   16 43418    16 76722 1356 4408 79 16  3  1  0
 7  0 17872168  91832  16200 5909740   16 45614    16 61570 1416 3999 38 13 28 21  0
14  4 17956392  85512  16256 5940004   16 42128    16 43716 6863 7383 70 11 11  8  0
 2  1 17998096  94864  16284 5959736    0 20952     0 71638 5923 6390 64 16 15  5  0
 7 10 18049556  85636  16292 5958992    0 25812     0 26642 1830 3167 32  7 26 35  0
11  5 18095472  87836  16300 5953080   14 22986    18 27892 2816 3972 38 10 16 36  0
 0  5 18149900  91304  16392 5960440   16 27224   410 31954 13943 11207 64  9 15 12  0
 1 17 18193948  86796  16392 5957344   32 22112    32 22120 3210 3820 12 13 24 51  0
 5 10 18248904  86164  16388 5950840    0 27556     0 28504 3203 3656 35 16 14 34  0
 0 13 18280656  84904  16400 5953652   16 15904    16 18608 6393 6257 66  7  8 19  0
14  0 18318220 110356  16404 5954216    0 18848     0 18858 1547 3750 45  4 18 32  0
 4 15 18345104  85328  16432 5959608   16 13554    16 24460 4433 4181 43 11 15 30  0
 9  5 18411092  90732  16448 5969164   32 33016    32 33016 1878 4244 23  5 24 48  0
12  0 18459488  97796  15816 5822600    0 24326   130 36886 9356 10602 55 11 30  4  0
